Point_ID,Latitude,Longitude,LST (°C),Elevation,Slope,Aspect,EVI,NDVI,TVI,BSI,NDBaI,NDBSI,NMDI,OSAVI,SAVI,BUI,EBBI,NBI,NBAI,UI,MNDWI,NDWI,Year
9,22.75602,86.30336,35.4,191.0,6.1,213.0,0.43,0.42,80.0,,,,0.18,0.42,0.68,0.07,0.05,0.25,-0.02,-0.04,0.27,0.33,2015
10,22.8992,86.33783,34.2,194.0,5.6,288.0,0.27,0.31,62.7,,,,0.13,0.47,0.47,0.35,0.3,0.2,0.04,-0.01,-0.14,0.24,2015
11,22.89166,86.36012,29.4,198.0,8.0,55.0,0.38,0.1,89.7,,,,0.34,0.38,0.49,0.03,0.07,-0.08,-0.09,0.02,0.05,-0.18,2015
12,22.86514,86.27063,33.1,187.0,4.6,89.0,0.46,0.47,99.6,,,,-0.25,0.42,0.46,-0.18,0.14,-0.04,0.04,0.12,0.47,0.53,2015
13,22.71868,86.31668,32.3,182.0,5.8,242.0,0.23,0.28,120.0,,,,-0.08,0.47,0.17,0.33,0.04,-0.17,0.05,-0.3,-0.04,0.09,2015
14,22.787,86.38153,25.0,184.0,5.5,347.0,0.68,0.28,95.9,,,,-0.35,0.43,0.32,0.09,-0.03,-0.16,-0.06,-0.1,0.14,-0.07,2015
15,22.76919,86.3274,34.2,184.0,4.8,179.0,0.3,0.36,120.0,,,,0.19,0.5,0.26,0.12,-0.02,0.14,-0.07,-0.04,0.07,-0.1,2015
16,22.88149,86.32557,24.0,172.0,5.0,66.0,0.34,0.45,116.5,,,,-0.02,0.43,0.23,0.11,-0.09,-0.1,0.17,0.19,0.47,0.03,2015
17,22.88724,86.46008,32.8,178.0,4.3,244.0,0.45,0.26,93.4,,,,-0.02,0.62,0.15,0.19,-0.06,-0.09,-0.23,0.11,0.07,0.19,2015
18,22.812,86.31089,34.1,229.0,5.8,259.0,0.43,0.53,99.3,,,,0.26,0.42,0.51,-0.2,-0.08,0.25,0.17,0.45,0.31,-0.18,2015
19,22.78471,86.40698,34.6,201.0,3.6,175.0,0.56,0.44,60.0,,,,0.15,0.6,0.79,-0.17,-0.01,-0.24,-0.15,-0.3,0.27,0.06,2015
20,22.84439,86.37594,25.4,190.0,7.1,226.0,0.3,0.3,77.2,,,,-0.11,0.75,0.57,-0.2,0.08,0.23,-0.05,-0.04,0.23,-0.11,2015
21,22.80549,86.39459,24.0,207.0,5.4,24.0,0.46,0.14,63.5,,,,0.18,0.14,0.63,0.21,-0.16,-0.01,0.05,0.2,0.24,-0.02,2015
22,22.82242,86.37138,33.3,217.0,6.7,202.0,0.48,0.75,89.3,,,,0.02,0.75,0.49,0.04,-0.2,0.18,-0.06,0.01,0.6,-0.13,2015
23,22.74242,86.41289,37.0,201.0,7.1,199.0,0.21,0.5,120.0,,,,-0.04,0.59,0.28,0.02,0.3,0.22,-0.06,-0.3,0.34,-0.08,2015
24,22.70019,86.45567,40.6,148.0,4.9,61.0,0.08,0.64,107.7,,,,0.19,0.64,0.6,0.24,0.27,0.15,-0.22,0.22,-0.03,-0.23,2015
25,22.72254,86.30693,32.8,174.0,9.2,117.0,0.34,0.75,87.7,,,,-0.07,0.45,0.69,-0.2,-0.07,0.11,0.25,0.22,0.02,-0.17,2015
26,22.85793,86.39511,37.7,201.0,8.1,13.0,0.53,0.47,105.5,,,,0.39,0.53,0.3,0.35,-0.19,-0.06,-0.25,0.21,-0.19,-0.16,2015
27,22.8143,86.49836,28.9,214.0,7.6,227.0,0.42,0.1,97.0,,,,0.06,0.36,0.47,0.2,0.3,-0.03,0.02,-0.08,0.51,0.24,2015
28,22.75701,86.40646,32.5,178.0,3.5,222.0,0.4,0.44,99.0,,,,-0.03,0.68,0.38,-0.13,-0.2,0.01,0.08,0.07,0.09,-0.25,2015
29,22.89852,86.40626,33.8,192.0,3.6,77.0,0.31,0.34,79.4,,,,-0.12,0.64,0.42,0.06,-0.16,0.21,-0.18,0.04,-0.1,0.27,2015
30,22.7476,86.24153,35.5,163.0,5.4,276.0,0.2,0.48,101.5,,,,0.02,0.68,0.3,0.19,-0.16,-0.06,-0.16,0.24,-0.05,-0.18,2015
31,22.81027,86.36432,30.3,227.0,4.7,123.0,0.69,0.18,111.4,,,,-0.01,0.35,0.37,-0.2,0.14,0.13,-0.1,0.18,0.39,-0.08,2015
32,22.85814,86.41145,34.9,206.0,1.0,133.0,0.5,0.56,108.1,,,,0.03,0.64,0.5,0.11,-0.05,0.01,0.25,-0.09,0.59,0.56,2015
33,22.82934,86.32437,31.9,186.0,8.0,132.0,0.37,0.52,120.0,,,,0.02,0.19,0.68,-0.1,-0.2,0.02,-0.02,-0.3,0.35,0.37,2015
34,22.74946,86.45619,24.0,216.0,4.6,209.0,0.6,0.42,66.3,,,,0.13,0.75,0.66,-0.1,-0.13,0.04,-0.17,-0.3,0.45,0.1,2015
35,22.78598,86.45496,40.7,205.0,7.1,204.0,0.59,0.59,108.2,,,,0.3,0.46,0.5,0.06,0.03,-0.1,-0.25,-0.06,0.47,0.33,2015
36,22.74753,86.31108,33.5,201.0,6.3,116.0,0.34,0.14,109.4,,,,0.12,0.55,0.46,0.3,-0.06,-0.1,0.01,0.1,0.2,-0.06,2015
37,22.75387,86.33806,38.7,209.0,8.0,205.0,0.31,0.36,105.2,,,,0.28,0.14,0.57,-0.13,0.16,0.06,-0.25,-0.11,0.21,-0.45,2015
38,22.76106,86.38178,24.0,168.0,5.4,44.0,0.32,0.46,60.0,,,,0.36,0.66,0.33,0.24,0.25,0.14,-0.05,0.05,0.27,-0.23,2015
39,22.80693,86.25688,37.3,176.0,5.3,119.0,0.58,0.4,108.0,,,,-0.09,0.69,0.64,0.22,-0.01,0.18,-0.14,0.2,0.13,-0.16,2015
40,22.81033,86.27577,26.7,228.0,6.5,243.0,0.49,0.48,81.7,,,,0.18,0.47,0.28,0.05,-0.01,0.17,-0.17,0.02,-0.09,-0.29,2015
41,22.8224,86.26467,33.4,166.0,4.6,156.0,0.27,0.66,94.7,,,,0.04,0.1,0.42,0.09,0.3,0.14,-0.15,-0.22,-0.4,0.26,2015
42,22.88268,86.35398,36.9,192.0,4.2,156.0,0.37,0.39,81.8,,,,0.05,0.21,0.15,0.25,0.07,0.22,-0.13,-0.3,-0.08,0.08,2015
43,22.89071,86.36674,33.5,199.0,6.8,180.0,0.33,0.6,104.7,,,,-0.11,0.33,0.79,0.34,-0.05,0.19,0.03,0.45,0.05,-0.13,2015
44,22.832,86.37581,25.5,215.0,5.2,160.0,0.05,0.14,120.0,,,,-0.13,0.34,0.68,0.19,0.03,-0.03,-0.05,-0.3,0.3,0.18,2015
45,22.82096,86.31309,33.7,236.0,4.4,173.0,0.41,0.4,101.8,,,,-0.14,0.29,0.6,0.11,-0.2,-0.25,0.02,0.02,-0.11,-0.02,2015
46,22.87945,86.46877,30.6,192.0,2.4,70.0,0.53,0.29,120.0,,,,0.08,0.39,0.15,0.3,-0.16,-0.25,-0.01,-0.08,0.18,0.28,2015
47,22.81784,86.34999,31.5,175.0,4.2,116.0,0.56,0.45,70.8,,,,-0.23,0.46,0.73,0.35,-0.04,0.25,-0.14,-0.07,0.14,-0.17,2015
48,22.77357,86.33913,39.2,235.0,1.4,120.0,0.3,0.5,70.7,,,,-0.1,0.75,0.42,0.05,0.13,0.1,0.18,-0.13,0.24,-0.1,2015
49,22.7984,86.4921,31.1,150.0,4.1,167.0,0.31,0.57,116.7,,,,0.07,0.52,0.39,0.06,-0.2,-0.15,0.18,-0.3,0.32,0.03,2015
50,22.85739,86.39152,31.7,159.0,8.6,246.0,0.05,0.57,70.0,,,,0.16,0.69,0.42,-0.15,0.29,0.13,0.09,0.02,0.5,-0.02,2015
51,22.86248,86.50428,35.4,161.0,8.1,232.0,0.05,0.39,111.2,,,,0.04,0.1,0.56,0.04,-0.07,-0.12,-0.13,0.25,-0.13,0.57,2015
52,22.78384,86.37421,35.5,211.0,7.3,60.0,0.26,0.35,107.6,,,,-0.03,0.17,0.58,-0.02,-0.11,0.25,-0.25,0.03,0.24,-0.24,2015
53,22.82637,86.36097,28.5,153.0,3.5,190.0,0.17,0.25,95.4,,,,-0.1,0.51,0.6,-0.08,0.09,0.11,0.07,0.2,-0.0,-0.04,2015
54,22.83109,86.42626,30.3,230.0,4.3,125.0,0.7,0.74,98.6,,,,-0.09,0.59,0.67,-0.18,-0.2,-0.01,-0.12,-0.08,0.19,-0.2,2015
55,22.82382,86.39378,25.6,204.0,6.4,89.0,0.25,0.48,105.8,,,,0.0,0.47,0.67,0.04,-0.2,-0.25,0.06,0.17,0.28,0.08,2015
56,22.80606,86.33968,33.9,192.0,6.2,27.0,0.35,0.39,96.7,,,,0.16,0.73,0.67,0.17,-0.18,-0.22,-0.05,-0.15,0.26,0.45,2015
57,22.814,86.33409,34.8,161.0,8.3,161.0,0.38,0.44,84.9,,,,0.21,0.38,0.37,-0.2,-0.05,-0.21,-0.25,0.45,0.47,-0.22,2015
58,22.8113,86.4435,39.2,199.0,6.4,56.0,0.36,0.45,120.0,,,,-0.02,0.61,0.78,0.16,-0.02,0.25,-0.12,-0.16,0.08,-0.36,2015
59,22.89763,86.3345,27.9,168.0,6.4,143.0,0.35,0.15,115.9,,,,-0.34,0.13,0.47,0.23,0.12,0.25,0.15,-0.23,0.14,0.4,2015
60,22.86489,86.34355,42.0,194.0,4.0,225.0,0.25,0.5,60.0,,,,-0.17,0.33,0.76,-0.0,-0.16,0.01,-0.01,0.45,0.34,-0.35,2015
61,22.87546,86.34284,34.9,203.0,5.9,268.0,0.42,0.37,120.0,,,,0.18,0.32,0.36,0.31,0.27,-0.06,-0.06,0.3,0.09,0.1,2015
62,22.79697,86.41245,33.0,142.0,5.4,185.0,0.21,0.75,76.0,,,,0.06,0.38,0.34,0.09,-0.18,-0.22,-0.01,0.33,0.38,0.46,2015
63,22.75423,86.38005,35.4,198.0,4.2,86.0,0.38,0.54,99.3,,,,-0.35,0.75,0.5,-0.2,0.21,-0.05,-0.02,0.1,-0.11,-0.18,2015
64,22.76938,86.37127,35.5,158.0,5.2,236.0,0.35,0.24,72.2,,,,-0.35,0.44,0.59,0.06,0.07,0.07,-0.11,-0.15,-0.02,0.05,2015
65,22.88146,86.37475,31.3,174.0,7.6,210.0,0.19,0.19,77.7,,,,0.09,0.64,0.65,-0.2,0.05,0.25,0.07,-0.17,0.49,-0.16,2015
66,22.76911,86.33339,30.7,207.0,5.0,136.0,0.51,0.1,114.0,,,,-0.25,0.34,0.78,0.2,0.07,-0.01,-0.09,0.45,0.6,-0.06,2015
67,22.79606,86.40137,25.9,218.0,8.1,104.0,0.52,0.52,60.0,,,,0.02,0.39,0.72,0.12,0.09,-0.25,0.1,0.18,-0.11,0.07,2015
68,22.94043,86.37098,27.9,178.0,4.0,155.0,0.39,0.42,96.5,,,,-0.3,0.63,0.48,0.04,0.05,0.16,0.05,0.17,-0.26,0.3,2015
69,22.76612,86.31015,30.3,193.0,5.9,337.0,0.61,0.4,113.6,,,,0.02,0.5,0.43,0.35,-0.1,0.02,-0.03,-0.03,-0.4,0.12,2015
70,22.68469,86.35375,38.9,210.0,8.8,54.0,0.43,0.3,113.2,,,,-0.25,0.33,0.68,0.1,-0.11,0.06,0.14,0.01,-0.01,0.18,2015
71,22.80366,86.43307,24.0,227.0,5.0,269.0,0.28,0.1,73.6,,,,0.22,0.36,0.61,0.2,0.11,0.04,0.25,0.42,0.46,0.11,2015
72,22.82239,86.3109,26.7,207.0,8.1,232.0,0.61,0.31,118.7,,,,0.11,0.37,0.26,0.35,-0.06,0.25,0.07,-0.3,-0.07,0.35,2015
73,22.85772,86.32196,32.3,218.0,4.9,87.0,0.49,0.37,116.1,,,,-0.01,0.13,0.29,0.19,0.04,-0.12,-0.13,0.06,0.41,0.33,2015
74,22.85752,86.39098,42.0,178.0,6.2,207.0,0.43,0.1,117.1,,,,0.06,0.31,0.4,0.35,-0.03,0.02,0.25,0.34,0.6,-0.34,2015
75,22.74726,86.37906,30.1,162.0,5.0,214.0,0.08,0.15,102.9,,,,0.03,0.75,0.38,-0.02,0.05,-0.07,-0.19,0.22,0.58,-0.12,2015
76,22.86211,86.35446,35.0,190.0,4.5,174.0,0.47,0.4,95.2,,,,-0.34,0.45,0.5,-0.19,-0.05,-0.24,0.03,0.11,-0.4,-0.28,2015
77,22.84085,86.42971,40.0,157.0,4.7,275.0,0.31,0.1,113.5,,,,-0.13,0.74,0.15,-0.07,0.15,-0.02,0.07,-0.16,0.47,0.5,2015
78,22.80571,86.35722,32.8,164.0,5.6,219.0,0.22,0.36,83.5,,,,0.06,0.75,0.26,-0.2,-0.03,0.25,-0.0,-0.28,-0.12,0.34,2015
79,22.83025,86.42249,30.4,219.0,5.1,325.0,0.05,0.1,93.9,,,,-0.12,0.54,0.47,0.23,0.26,0.11,0.14,0.45,-0.09,0.1,2015
80,22.87891,86.40617,35.8,222.0,6.3,297.0,0.3,0.46,97.8,,,,0.11,0.67,0.69,0.15,0.03,-0.08,-0.03,0.44,0.19,-0.07,2015
81,22.89654,86.33976,36.4,160.0,5.6,301.0,0.22,0.69,87.4,,,,-0.02,0.33,0.6,0.16,0.06,-0.25,0.01,0.0,0.6,0.26,2015
82,22.77934,86.33283,39.1,187.0,8.9,112.0,0.32,0.6,90.6,,,,-0.15,0.37,0.67,0.02,0.3,0.18,0.04,-0.29,-0.34,0.03,2015
83,22.77621,86.38676,36.3,140.0,6.0,125.0,0.18,0.7,90.9,,,,0.19,0.66,0.33,-0.01,0.21,0.24,-0.17,0.36,0.07,0.14,2015
84,22.74917,86.43839,36.4,201.0,4.3,302.0,0.21,0.67,81.1,,,,0.13,0.11,0.54,-0.17,0.07,0.08,0.03,0.26,0.08,0.28,2015
85,22.85419,86.35314,30.7,208.0,5.1,326.0,0.09,0.22,98.9,,,,0.21,0.75,0.73,0.15,-0.02,0.04,0.02,-0.15,-0.17,-0.45,2015
86,22.88324,86.43998,34.5,220.0,2.4,80.0,0.6,0.39,110.4,,,,0.37,0.57,0.51,-0.03,-0.2,0.08,-0.13,-0.3,0.26,0.48,2015
87,22.7909,86.31505,33.1,194.0,5.9,261.0,0.43,0.35,79.9,,,,-0.35,0.38,0.33,0.07,0.26,0.07,-0.06,0.45,0.4,0.27,2015
88,22.831,86.40798,27.5,207.0,4.6,313.0,0.47,0.22,100.7,,,,-0.12,0.33,0.71,-0.09,-0.2,0.12,0.11,-0.18,0.13,0.28,2015
89,22.85677,86.42597,37.8,194.0,2.4,249.0,0.19,0.31,89.3,,,,0.03,0.75,0.35,0.11,0.1,0.25,-0.09,0.31,0.04,0.02,2015
90,22.85973,86.45333,24.0,166.0,7.1,163.0,0.64,0.52,120.0,,,,-0.09,0.46,0.39,0.35,-0.2,-0.25,0.06,0.24,0.09,0.31,2015
91,22.86753,86.38758,24.0,236.0,4.7,269.0,0.41,0.53,111.2,,,,-0.33,0.48,0.24,-0.2,0.03,-0.0,-0.25,-0.15,0.07,0.65,2015
92,22.84939,86.31771,31.4,189.0,8.1,24.0,0.35,0.14,79.4,,,,0.13,0.25,0.47,-0.2,0.18,0.12,0.12,-0.22,-0.35,0.42,2015
93,22.7531,86.38605,28.6,191.0,8.7,48.0,0.05,0.33,106.0,,,,0.06,0.29,0.63,-0.2,-0.14,0.04,0.15,0.08,-0.2,0.04,2015
94,22.79465,86.47793,24.0,156.0,8.5,283.0,0.14,0.46,72.0,,,,-0.11,0.24,0.82,0.15,0.3,-0.19,-0.17,0.05,0.32,0.05,2015
95,22.80553,86.30577,36.8,153.0,7.7,90.0,0.44,0.34,108.0,,,,0.16,0.68,0.51,0.02,-0.09,0.22,0.01,-0.3,-0.07,-0.03,2015
96,22.84387,86.45134,30.9,187.0,5.8,162.0,0.37,0.16,97.0,,,,0.08,0.69,0.52,-0.11,-0.12,0.1,0.07,0.02,0.27,0.65,2015
97,22.79116,86.39382,37.7,154.0,5.5,25.0,0.31,0.16,80.6,,,,-0.14,0.52,0.26,-0.08,-0.13,0.06,0.25,-0.3,-0.33,-0.34,2015
98,22.85851,86.39217,25.6,193.0,2.8,172.0,0.56,0.54,60.0,,,,0.22,0.23,0.66,0.15,0.15,-0.0,-0.07,0.24,0.15,0.16,2015
99,22.83439,86.36431,32.1,172.0,5.2,117.0,0.35,0.38,111.9,,,,0.2,0.39,0.31,-0.08,-0.11,0.22,-0.14,0.3,0.3,0.04,2015
100,22.84028,86.36567,30.4,203.0,4.5,48.0,0.49,0.22,69.5,,,,-0.16,0.47,0.57,-0.14,0.18,-0.25,-0.24,-0.23,0.04,-0.07,2015
101,22.85683,86.44592,30.1,193.0,3.3,120.0,0.37,0.37,62.1,,,,0.12,0.1,0.46,0.33,0.05,0.03,-0.25,-0.2,0.2,-0.24,2015
102,22.86598,86.35209,31.1,190.0,8.9,64.0,0.16,0.43,65.6,,,,0.04,0.64,0.85,0.14,-0.2,0.22,-0.12,0.38,0.27,0.08,2015
103,22.90743,86.47645,27.4,175.0,4.8,193.0,0.07,0.17,73.5,,,,0.12,0.55,0.58,-0.08,0.03,-0.09,-0.07,0.08,-0.07,-0.16,2015
104,22.84598,86.34454,28.7,160.0,6.1,223.0,0.11,0.54,82.2,,,,-0.3,0.5,0.55,0.01,-0.01,0.25,-0.09,-0.18,0.17,-0.02,2015
105,22.78973,86.43066,24.4,170.0,8.2,121.0,0.16,0.47,99.4,,,,0.25,0.39,0.44,-0.17,0.21,0.1,0.24,-0.09,0.08,-0.21,2015
106,22.75035,86.42778,32.5,221.0,4.9,216.0,0.16,0.5,109.6,,,,-0.13,0.47,0.32,0.03,0.03,-0.14,-0.0,-0.3,0.43,0.65,2015
107,22.80099,86.43801,35.2,190.0,6.9,113.0,0.62,0.22,60.0,,,,0.13,0.75,0.31,0.35,0.1,0.01,-0.07,0.19,0.4,0.44,2015
108,22.87332,86.42432,28.2,180.0,4.5,17.0,0.31,0.16,109.7,,,,0.14,0.38,0.53,0.35,-0.04,0.09,-0.09,-0.3,0.48,-0.13,2015
109,22.84076,86.38,28.3,189.0,5.0,278.0,0.54,0.34,117.2,,,,-0.35,0.26,0.42,0.24,0.14,0.11,-0.14,-0.3,0.38,0.29,2015
110,22.86535,86.44684,32.0,186.0,5.9,261.0,0.26,0.2,86.2,,,,0.12,0.36,0.63,-0.2,0.3,-0.25,-0.25,-0.3,-0.4,-0.12,2015
111,22.84485,86.37062,27.3,214.0,4.8,218.0,0.29,0.1,68.5,,,,-0.0,0.4,0.67,0.35,0.3,0.25,-0.12,0.01,-0.05,0.45,2015
112,22.82249,86.4208,35.7,182.0,8.5,141.0,0.24,0.67,103.3,,,,-0.35,0.38,0.23,-0.01,-0.11,0.05,0.15,-0.02,0.33,0.14,2015
113,22.83284,86.46069,35.7,143.0,6.8,281.0,0.13,0.66,88.6,,,,0.01,0.43,0.83,0.07,0.3,0.09,-0.0,0.45,0.57,-0.12,2015
114,22.87362,86.36882,24.0,150.0,7.5,172.0,0.2,0.51,97.2,,,,0.24,0.52,0.22,0.21,0.1,-0.1,0.05,-0.3,0.3,0.45,2015
115,22.84209,86.34859,26.7,191.0,5.8,253.0,0.36,0.42,87.2,,,,0.0,0.62,0.45,0.09,0.1,-0.25,-0.25,0.28,0.29,-0.03,2015
116,22.78641,86.38801,29.3,185.0,6.8,131.0,0.47,0.47,95.8,,,,0.12,0.57,0.19,-0.2,0.22,0.23,-0.25,-0.01,-0.05,0.11,2015
117,22.73509,86.33092,35.6,205.0,3.9,294.0,0.34,0.6,120.0,,,,-0.27,0.75,0.67,0.13,0.05,0.22,-0.23,-0.11,0.27,-0.1,2015
118,22.7765,86.45133,34.0,204.0,4.6,131.0,0.24,0.34,81.1,,,,-0.3,0.21,0.55,0.25,-0.13,-0.25,-0.16,0.12,0.6,0.09,2015
119,22.83419,86.43152,27.3,202.0,8.4,251.0,0.41,0.61,80.9,,,,0.24,0.53,0.72,0.26,-0.16,-0.1,-0.2,0.27,-0.05,0.27,2015
120,22.82859,86.35079,24.0,223.0,3.6,264.0,0.36,0.41,102.3,,,,-0.09,0.55,0.52,-0.09,0.05,0.25,-0.2,0.45,0.18,-0.19,2015
121,22.80131,86.48175,41.2,200.0,7.2,58.0,0.36,0.75,109.7,,,,0.4,0.5,0.42,-0.2,-0.01,0.25,0.04,-0.03,-0.17,0.07,2015
122,22.80466,86.40186,24.0,173.0,5.3,340.0,0.1,0.58,95.5,,,,-0.11,0.47,0.15,-0.12,-0.2,0.25,0.11,-0.24,0.28,0.4,2015
123,22.76858,86.52018,33.7,194.0,3.1,204.0,0.65,0.4,94.2,,,,0.04,0.37,0.8,-0.13,-0.05,-0.03,-0.18,-0.3,0.08,0.26,2015
124,22.85957,86.34451,29.5,198.0,7.3,197.0,0.44,0.2,72.5,,,,0.08,0.28,0.56,-0.07,0.0,0.09,0.13,-0.25,0.49,0.26,2015
125,22.80829,86.3254,27.6,217.0,5.6,282.0,0.28,0.31,99.4,,,,0.31,0.55,0.6,-0.12,-0.19,0.04,0.14,-0.12,0.09,-0.24,2015
126,22.78795,86.37166,31.7,140.0,5.3,206.0,0.41,0.59,120.0,,,,-0.05,0.27,0.63,0.23,-0.02,0.25,0.09,0.25,0.6,0.25,2015
127,22.79338,86.46715,35.4,172.0,7.0,44.0,0.24,0.25,114.1,,,,0.05,0.66,0.21,0.18,0.12,-0.19,0.25,0.03,0.32,-0.05,2015
128,22.89942,86.45755,35.0,218.0,6.6,52.0,0.1,0.24,120.0,,,,-0.35,0.12,0.21,-0.13,0.2,-0.25,0.24,-0.1,0.18,-0.15,2015
129,22.79389,86.3078,39.1,199.0,6.4,202.0,0.31,0.44,74.9,,,,-0.19,0.43,0.55,-0.16,0.3,0.13,-0.1,0.45,-0.4,-0.28,2015
130,22.78243,86.30369,24.0,176.0,8.2,249.0,0.36,0.42,93.4,,,,-0.05,0.27,0.63,0.35,0.17,-0.21,-0.05,0.26,0.04,-0.15,2015
131,22.79878,86.41057,32.2,160.0,1.3,102.0,0.46,0.18,72.3,,,,-0.35,0.55,0.32,-0.1,-0.06,0.06,-0.07,0.01,0.15,0.11,2015
132,22.86255,86.41129,25.9,202.0,7.1,0.0,0.2,0.63,67.6,,,,0.2,0.38,0.6,0.33,0.3,0.22,-0.25,-0.05,0.12,-0.32,2015
133,22.796,86.40144,24.5,212.0,5.1,232.0,0.59,0.46,86.5,,,,-0.03,0.42,0.75,-0.2,0.16,0.24,-0.25,-0.3,0.02,0.28,2015
134,22.77932,86.44614,26.3,174.0,4.3,107.0,0.35,0.46,79.9,,,,0.03,0.47,0.72,-0.2,0.0,0.24,-0.12,-0.3,-0.2,0.21,2015
135,22.73796,86.26534,25.5,206.0,6.3,20.0,0.31,0.67,77.9,,,,0.03,0.74,0.7,0.11,-0.2,-0.2,0.06,-0.23,-0.39,0.18,2015
136,22.82564,86.46945,29.8,195.0,4.9,251.0,0.2,0.52,88.0,,,,0.0,0.34,0.51,-0.2,0.16,-0.25,0.13,-0.0,0.05,0.01,2015
137,22.867,86.40125,35.0,172.0,2.6,333.0,0.56,0.47,60.0,,,,0.04,0.66,0.47,-0.12,-0.14,0.04,-0.15,0.42,0.29,-0.07,2015
138,22.85354,86.49591,33.4,165.0,3.4,87.0,0.36,0.2,120.0,,,,0.16,0.42,0.84,0.35,0.0,-0.1,0.1,-0.14,-0.14,-0.45,2015
139,22.79992,86.43392,30.0,226.0,4.8,196.0,0.41,0.75,92.5,,,,0.12,0.19,0.33,0.05,-0.07,-0.01,0.02,-0.05,0.25,0.38,2015
140,22.8002,86.31321,39.6,209.0,6.9,313.0,0.26,0.75,83.6,,,,0.05,0.25,0.54,0.35,0.3,-0.16,-0.11,0.01,0.13,0.02,2015
141,22.86197,86.37852,34.8,211.0,1.8,134.0,0.37,0.27,93.2,,,,0.28,0.4,0.7,0.12,-0.0,0.03,-0.15,0.28,0.34,0.16,2015
142,22.86532,86.43341,34.9,203.0,6.6,261.0,0.53,0.41,74.8,,,,-0.19,0.17,0.69,-0.2,-0.2,0.08,-0.05,0.33,0.1,0.16,2015
143,22.77809,86.26777,29.8,166.0,4.8,360.0,0.05,0.34,78.5,,,,-0.05,0.66,0.65,-0.17,-0.07,-0.0,0.04,-0.02,0.2,-0.18,2015
144,22.7549,86.31125,37.2,198.0,9.6,194.0,0.2,0.32,96.9,,,,-0.14,0.34,0.32,0.35,0.11,0.25,0.05,0.02,0.4,0.24,2015
145,22.8263,86.42192,27.9,191.0,5.3,189.0,0.45,0.61,94.8,,,,0.26,0.31,0.53,-0.06,0.27,-0.17,-0.06,0.45,-0.4,0.59,2015
146,22.86904,86.4112,28.0,182.0,7.6,231.0,0.17,0.38,89.8,,,,-0.21,0.2,0.77,-0.06,0.17,0.07,0.0,0.3,0.13,0.53,2015
147,22.80031,86.38703,25.5,203.0,5.4,217.0,0.25,0.55,100.9,,,,0.36,0.63,0.6,0.3,-0.0,0.01,-0.08,-0.12,0.08,0.19,2015
148,22.80128,86.33058,29.3,191.0,7.1,267.0,0.52,0.2,60.0,,,,0.4,0.32,0.33,-0.13,0.02,0.1,0.07,-0.01,0.38,0.34,2015
149,22.79554,86.29414,32.1,215.0,7.4,275.0,0.32,0.62,92.9,,,,0.1,0.41,0.15,0.05,-0.12,0.25,0.02,-0.29,0.31,0.04,2015
150,22.86053,86.36435,39.0,221.0,6.8,297.0,0.35,0.4,97.0,,,,-0.06,0.61,0.4,-0.2,0.12,0.25,-0.12,0.2,-0.21,-0.12,2015
151,22.8772,86.33289,33.1,233.0,4.9,251.0,0.2,0.1,92.2,,,,-0.19,0.59,0.8,0.01,0.08,-0.19,-0.12,0.21,-0.0,0.18,2015
152,22.87399,86.41343,27.4,218.0,5.0,250.0,0.41,0.66,102.2,,,,-0.06,0.13,0.32,0.11,0.3,0.15,-0.23,0.38,0.6,-0.08,2015
153,22.79634,86.36246,28.6,198.0,2.0,132.0,0.05,0.55,60.0,,,,0.05,0.42,0.15,0.16,0.13,-0.04,0.25,0.18,-0.11,-0.2,2015
154,22.79175,86.41746,26.8,140.0,4.8,100.0,0.36,0.1,78.6,,,,-0.26,0.75,0.58,0.09,0.2,-0.15,0.03,-0.3,-0.4,-0.23,2015
155,22.8742,86.30114,33.3,182.0,4.6,89.0,0.36,0.46,111.8,,,,-0.04,0.21,0.54,-0.06,0.22,-0.25,-0.17,-0.01,0.07,0.5,2015
156,22.84486,86.34228,34.8,216.0,5.4,81.0,0.41,0.29,107.0,,,,-0.35,0.3,0.85,-0.03,0.11,-0.04,-0.25,-0.02,0.03,0.04,2015
157,22.78225,86.45858,24.0,222.0,9.0,141.0,0.14,0.75,100.6,,,,0.33,0.38,0.15,0.35,-0.2,-0.01,-0.04,0.09,0.33,-0.06,2015
158,22.75057,86.33831,34.3,209.0,7.6,148.0,0.39,0.12,116.1,,,,0.22,0.62,0.82,0.05,-0.15,-0.01,0.25,-0.01,-0.27,0.65,2015
159,22.87177,86.27843,29.3,216.0,5.1,185.0,0.13,0.1,72.3,,,,0.16,0.1,0.45,0.13,0.09,0.15,0.19,0.08,-0.28,-0.45,2015
160,22.80399,86.45214,31.4,175.0,7.5,227.0,0.62,0.3,67.8,,,,-0.02,0.32,0.48,-0.01,-0.16,0.25,0.21,-0.29,0.41,0.2,2015
161,22.92758,86.36251,41.7,197.0,5.9,104.0,0.45,0.75,97.1,,,,0.04,0.5,0.51,0.15,-0.2,0.08,0.25,0.15,0.6,0.14,2015
162,22.87277,86.4556,27.4,191.0,4.6,360.0,0.29,0.34,94.8,,,,-0.03,0.35,0.38,-0.2,0.3,-0.17,-0.16,0.17,0.6,-0.35,2015
163,22.79808,86.37533,28.4,185.0,6.6,16.0,0.3,0.41,120.0,,,,-0.07,0.35,0.81,0.04,-0.05,-0.06,-0.19,0.38,0.07,0.02,2015
